booking_id,customer_id,returning_customer,customer_age,tour_id,departure_id,tour_name,location,region,tour_type,customer_origin,booking_segment,booking_channel,booking_stage,unit_price_vnd,adults,children,infants,participants,booking_date,travel_start,travel_end,season,weather_condition,status,post_tour_rating,revenue_vnd,total_cost_vnd,profit_vnd
B000001,CUST00001,False,38,T168,T168_PV_Co_240110_000000,Tour Phú Quốc 3N2Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Corporate,Agent,Early,2260000,19,0,0,19,2023-12-08,2024-01-10,2024-01-12,Winter,Sunny,Completed,4.9,42940000,33540000,9400000
B000002,CUST00002,False,35,T145,T145_SH_Fa_230618_0214,Tour Đà Nẵng 4N3Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Family,Agent,Early,2280000,2,2,0,4,2023-05-11,2023-06-18,2023-06-21,Summer,Rainy,Completed,4.1,7300000,5010000,2290000
B000003,CUST00003,False,21,T273,T273_SH_Gr_241204_0402,Tour Cần Thơ 3N2Đ - Cultural,Cần Thơ,Nam Bộ,Cultural,Domestic,Group,Website,Normal,1330000,10,0,0,10,2024-11-12,2024-12-04,2024-12-06,Winter,Sunny,Completed,4.2,13300000,9010000,4290000
B000004,CUST00004,False,34,T054,T054_SH_Co_220418_0082,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Couple,OTA,Early,1890000,2,0,0,2,2022-03-17,2022-04-18,2022-04-20,Spring,Rainy,Completed,3.8,3780000,2630000,1150000
B000005,CUST00004,True,60,T147,T147_SH_Fo_241230_0163,Tour Ninh Bình 4N3Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Foreign,Foreign,OTA,Normal,1620000,4,0,0,4,2024-12-08,2024-12-30,2025-01-02,Winter,Sunny,Completed,4.4,6480000,4340000,2140000
B000006,CUST00005,False,35,T214,T214_SH_So_240221_0136,Tour Vũng Tàu 5N4Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Solo,Social,Normal,3220000,1,0,0,1,2024-02-08,2024-02-21,2024-02-25,Spring,Sunny,Completed,4.7,3220000,2340000,880000
B000007,CUST00006,False,38,T077,T077_PV_Co_231024_000006,Tour Hà Giang 3N2Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Corporate,Website,Normal,1330000,13,0,0,13,2023-10-03,2023-10-24,2023-10-26,Autumn,Sunny,Completed,5.0,17290000,12720000,4570000
B000008,CUST00007,False,38,T176,T176_SH_Fa_240930_0045,Tour Hà Nội 3N2Đ - Cultural,Hà Nội,Bắc Bộ,Cultural,Domestic,Family,Agent,Early,1510000,4,4,0,8,2024-08-28,2024-09-30,2024-10-02,Autumn,Sunny,Completed,5.0,9660000,7690000,1970000
B000009,CUST00008,False,22,T168,T168_SH_Gr_230223_0283,Tour Phú Quốc 3N2Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Group,OTA,Normal,1560000,10,0,0,10,2023-02-02,2023-02-23,2023-02-25,Spring,Sunny,Completed,3.9,15600000,11250000,4350000
B000010,CUST00009,False,27,T347,T347_SH_Co_221130_0014,Tour Hà Giang 3N2Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Couple,Hotline,Late,1250000,2,0,0,2,2022-11-18,2022-11-30,2022-12-02,Winter,Sunny,Completed,3.3,2500000,1880000,620000
